Country Name,"Life expectancy at birth, female (years) - 2019","Life expectancy at birth, male (years) - 2019","Mortality caused by road traffic injury (per 100,000 population) - 2019","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%) - 2019","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%) - 2019","Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population) - 2019","Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population) - 2019","Mortality rate attributed to unintentional poisoning, female (per 100,000 female population) - 2019","Mortality rate attributed to unintentional poisoning, male (per 100,000 male population) - 2019","Mortality rate, adult, female (per 1,000 female adults) - 2019","Mortality rate, adult, male (per 1,000 male adults) - 2019","Mortality rate, infant, female (per 1,000 live births) - 2019","Mortality rate, infant, male (per 1,000 live births) - 2019","Mortality rate, neonatal (per 1,000 live births) - 2019","Mortality rate, under-5, female (per 1,000 live births) - 2019","Mortality rate, under-5, male (per 1,000 live births) - 2019","Number of infant deaths - 2019","Number of neonatal deaths - 2019","Suicide mortality rate, female (per 100,000 female population) - 2019","Suicide mortality rate, male (per 100,000 male population) - 2019","Survival to age 65, female (% of cohort) - 2019","Survival to age 65, male (% of cohort) - 2019"
Australia,"85","80.9","4.9","6.9","11","7.9","11.9","0.13","0.11","42.391","75.203","2.9","3.5","2.4","3.4","4.1","996","720","7.07","21","93.269492","88.514336"
Austria,"84.2","79.7","4.9","7.9","12.9","13.8","21.9","0.053","0.28","40.952","75.489","2.7","3.2","2.2","3.2","3.8","249","186","6.66","22.77","93.073777","87.575718"
Azerbaijan,"76.235","70.217","6.7","14.5","24.6","106.5","148","0.31","0.67","76.984","165.759","15.4","17.7","14.1","21","23.7","2587","2170","0.88","2.83","85.660171","72.959534"
"Bahamas, The","74.176","68.617","7.7","17","24","8","13.4","0.14","0.25","160.326","224.115","14.8","16.6","9.7","22.5","24.5","69","43","0.83","6.62","76.705251","68.79193"
Bahrain,"81.54","79.615","5.2","14.2","14.7","60","74","0.11","0.29","50.907","63.961","6.3","6.6","4","7.7","8","130","78","1.6","7.63","90.565906","88.89052"
Bangladesh,"74.399","70.933","15.3","16.8","21.6","130.5","156.9","0.097","0.17","118.025","161.882","23.7","27","19.3","30.2","34.5","83641","64099","2.24","3.95","80.001991","73.327263"
Barbados,"78.536","74.287","8.2","16.2","19.6","16.7","21.2","0.14","0.15","86.426","135.747","9.7","11.3","7.8","10.5","12.3","34","25","1.33","8.56","86.776802","79.392312"
Belarus,"79.4","69.3","7.6","13.9","36.7","49.2","104.3","0.77","2.76","NA","NA","2.1","2.7","1.1","2.7","3.5","218","95","5.86","30.87","86.958716","65.176586"
Belgium,"84.3","79.8","5.8","8","12","11.9","19.4","0.41","0.53","46.994","77.72","2.9","3.7","2.3","3.5","4.4","386","269","10.36","26.09","92.065814","87.306552"
Belize,"75.668","69.871","22.6","15.3","16.8","33.8","48","0.22","0.26","111.89","208.514","10.1","12.6","9.6","12.1","14.8","88","72","1.45","8.54","81.978908","68.696299"
Benin,"61.069","58.694","26.8","18.9","24","180.5","227.5","0.73","1.54","253.55","289.777","46.2","56.9","30","82","93.7","23499","13748","3.09","11.36","59.816043","55.192972"
Bermuda,"85.033","77.607","NA","NA","NA","NA","NA","NA","NA","47.211","94.965","NA","NA","NA","NA","NA","NA","NA","NA","NA","92.661206","85.019599"
Bhutan,"73.898","70.427","16.2","15.4","17.8","90.2","97.7","0.054","0.096","109.585","150.434","19.1","22.9","14.6","24.1","28.7","203","139","3.4","6.08","81.314899","74.44969"
Bolivia,"70.266","65.537","21.1","17","16.1","74.3","80.2","0.4","0.55","155.563","233.892","20.6","25.2","14.2","24.1","29.2","5952","3692","3.8","6.88","73.855092","64.141263"
Bosnia and Herzegovina,"80.463","73.961","13.5","13.9","25.1","95.3","135.9","1.8","2.33","63.181","124.708","5.4","6.4","4.7","6.1","7.3","172","135","4.97","17.46","89.015322","78.976316"
Botswana,"69.585","64.775","26.4","17.4","21.7","115.6","176.2","1.06","1.08","187.28","260.564","37.7","46.6","22.4","40.2","49.4","2514","1344","4.87","13.13","70.681902","61.208374"
Brazil,"79.023","72.653","16","12.4","18","23.5","35.8","0.092","0.18","82.86","167.856","11.5","14.4","9.2","13.3","16.7","36823","25804","3.27","10.24","86.473098","75.501009"
British Virgin Islands,"79.646","74.137","NA","NA","NA","NA","NA","NA","NA","52.111","104.827","13.3","12.6","7.5","14.3","14.2","3","2","NA","NA","90.190121","81.477373"
Brunei Darussalam,"77.286","73.068","7.5","13.5","16.7","15.8","23.3","0.002","0.002","98.257","141.614","7.9","9.1","5.2","9.1","10.5","55","33","0.65","4.12","84.545257","77.560202"
Bulgaria,"78.8","71.6","9.2","16","32.2","48.1","81.3","0.37","0.69","81.732","182.115","5","6","3.2","6.1","7.3","343","199","3.89","14.47","86.762875","71.801473"
Burkina Faso,"61.948","58.335","31","21.6","27.1","167.4","248.6","1.51","1.83","223.516","296.865","45.1","54.8","26.3","83.3","92.9","36181","18960","3.98","12.95","62.908202","54.141649"
Burundi,"64.028","60.31","35.5","22.5","25.5","181","235.8","1.89","2.41","237.042","298.92","31.6","39.5","21.4","52.1","61","15754","9586","3.63","10.17","63.716175","56.230724"
Cabo Verde,"78.686","72.127","26.8","12.1","23.2","70.7","124.9","0.079","0.5","61.443","172.377","11.9","14.4","9.6","12.8","15.4","101","71","4.37","24.43","89.538788","76.380316"
Cambodia,"72.561","67.526","19.6","19.7","27.8","139.4","198.1","0.21","0.63","138.351","211.548","20.6","26.2","13.8","23.5","29.6","8895","5213","2.79","6.21","78.154101","68.503735"
Cameroon,"63.825","59.629","30.2","22.9","27.1","178","240.8","0.72","1.42","228.251","303.679","41.8","51.6","27.3","71.2","82.8","42687","25216","3.53","12.95","63.658105","54.411207"
Canada,"84.32","80.11","5.3","7.8","11.4","6.3","10.1","0.17","0.38","49.767","82.636","4.1","4.8","3.4","4.7","5.5","1677","1280","6.38","19.08","91.987767","87.254457"
Cayman Islands,"81.568","76.678","NA","NA","NA","NA","NA","NA","NA","91.657","129.815","NA","NA","NA","NA","NA","NA","NA","NA","NA","87.039363","81.458015"
Central African Republic,"38.771","26.386","37.7","27.3","38.3","257.8","364.9","0.87","2.01","573.291","881.247","117","131.2","35","236.8","249.1","26522","7636","3.89","15.3","22.307837","5.193477"
Chad,"54.583","51.444","32.4","22.5","25.6","206.6","251","0.72","1.59","336.625","397.412","58.8","71.7","33.6","107.7","121.1","47173","24800","2.87","7.64","49.03951","42.593187"
Channel Islands,"83.4","79","NA","NA","NA","NA","NA","NA","NA","40","63","NA","NA","NA","NA","NA","NA","NA","NA","NA","92.9832816049409","88.5646872458697"
Chile,"82.549","78.098","14.9","8.5","12.1","13.8","23.1","0.25","0.51","60.507","107.386","5.5","6.5","4.7","6.4","7.5","1298","986","3.83","15.76","90.014143","83.66632"
China,"80.747","75.303","17.4","11.6","20.4","73.5","121.5","1.28","1.85","57.27","110.506","5.6","6.3","3.8","7.6","8.5","89309","54973","7.27","10.16","90.152664","81.743736"
Colombia,"79.695","73.907","15.4","9.2","11.4","27.4","36.2","0.093","0.21","72.478","135.581","11","13.7","7.5","12.2","15.1","8677","5292","2.33","7.95","88.044751","80.101593"
Comoros,"67.683","63.792","26.6","20","20.7","155.2","174.8","1.23","1.64","178.417","239.714","37","41.7","24.4","41.7","47.2","938","584","4.5","7.84","70.512578","61.667414"
"Congo, Dem. Rep.","62.153","58.358","34.9","23","26.6","188.8","233.1","0.87","1.67","240.741","300.878","44.6","54.8","27.4","77.3","89.3","193094","108219","3.71","13.02","61.614239","54.274284"
"Congo, Rep.","64.633","61.708","29.7","23.3","22.7","169.8","169.1","1.39","1.41","254.646","308.325","29.7","36.2","19.2","48.5","56.2","5921","3473","3.57","10.53","62.557754","55.483981"
Costa Rica,"82.963","77.603","14.8","8.5","11.4","13.9","22.1","0.045","0.12","59.4","114.38","7.4","8.4","6.2","8.5","9.7","518","396","2","12.21","90.339672","83.347433"
Cote d'Ivoire,"62.295","58.493","24.1","20.6","25.6","148.2","222.1","0.66","1.38","291.241","340.719","45.4","58.8","30.3","67.6","83.7","50056","29293","2.58","12.7","57.192866","50.38331"
Croatia,"81.4","75.2","7.9","10.6","21.5","24","40.8","0.32","0.48","52.396","120.964","3.6","4.4","3","4.2","5.2","138","101","6.42","24.04","91.108317","80.54627"
Cuba,"79.913","75","8.9","13.7","20.1","35.1","49.5","0.08","0.14","76.597","132.567","4.9","6","3.2","6.2","7.5","605","342","4.89","22.85","87.040314","78.929569"
Curacao,"80.573","72.237","NA","NA","NA","NA","NA","NA","NA","56.504","138.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","90.385895","77.208421"
Cyprus,"83.633","79.317","5.8","6.2","11.7","10.6","21.7","0.17","0.35","32.908","62.309","2.4","2.7","1.8","2.9","3.3","36","25","0.87","8.07","93.941154","89.149858"
Czechia,"82.2","76.4","5.9","9.8","18.8","25.3","41.5","0.2","0.55","51.96","107.105","2.1","2.7","1.6","2.7","3.4","276","176","4.87","19.8","91.228903","82.529951"
Denmark,"83.5","79.5","3.7","9.1","13.1","10.4","15.7","0.17","0.25","43.817","73.629","3","3.6","2.5","3.4","4.1","202","156","6.41","16.47","92.189131","87.386307"
Djibouti,"66.863","61.968","23.5","19.9","23.3","157.2","199.4","1.42","1.88","192.313","267.784","45.8","54.7","30.9","52.2","62.4","1193","738","6.59","9.48","69.133806","59.63476"
Dominica,"74.508","68.564","NA","NA","NA","NA","NA","NA","NA","91.831","179.037","28.7","32.3","29","30.9","35","24","23","NA","NA","83.014615","70.51446"
Dominican Republic,"76.448","69.898","64.6","15.7","21.8","35.4","47.7","0.25","0.42","105.271","182.115","28.1","33.4","23.8","31.3","37.3","6538","5041","1.96","9.72","82.407443","72.268661"
Ecuador,"79.975","74.61","20.1","10.6","12.6","23.9","32.9","0.59","1.55","82.864","141.751","10","13.3","7","11.9","15.6","3452","2050","3.47","13.58","86.675417","79.324417"
"Egypt, Arab Rep.","73.415","69.041","10.1","21.9","33","87.9","125.5","0.28","0.27","104.367","171.658","17.1","19.7","10.6","18.7","21.4","44898","25416","0.45","1.36","80.987706","70.868484"
El Salvador,"75.979","67.1","20.9","10.9","15.9","32.9","50.5","0.37","1.29","116.805","285.407","9.6","11.6","5.2","11","13.3","1095","534","3.27","12.79","81.675395","62.99339"
Equatorial Guinea,"64.144","60.674","27.2","20.4","22.1","164.5","169.6","0.72","0.71","218.115","273.066","50.2","61.6","29.7","75.4","87.5","2931","1575","4.29","10.75","64.310342","57.073219"
Eritrea,"69.36","65.174","37.9","25.1","30.1","193.4","288.5","1.62","2.57","172.742","232.112","24.6","32.8","18.1","35.5","45.1","2683","1710","6.9","19.29","72.842808","64.908001"
Estonia,"83","74.5","4.5","9","22.4","8.7","18.9","0.15","1.23","58.202","147.038","1.7","2.1","1.2","2.3","2.8","28","16","6.52","25.74","91.100279","77.501957"
Eswatini,"62.541","57.106","33.5","28.4","42.9","116.9","243.5","2.23","3.69","325.605","443.353","43.1","52.9","26","46.2","56.7","1467","796","9.03","48","55.220664","42.388977"
Ethiopia,"68.863","62.778","28.2","17.1","17.3","126.9","160.1","1.09","1.28","169.022","258.24","34.5","47.1","30.4","47","60.8","155616","118076","2.77","8.56","72.512254","60.990385"
Faroe Islands,"84.8","80.2","NA","NA","NA","NA","NA","NA","NA","38.758","65.068","NA","NA","NA","NA","NA","NA","NA","NA","NA","92.772787","87.94111"
Fiji,"68.992","65.116","13.5","34.5","43.1","88.6","153.3","0.08","0.38","196.222","261.445","18.5","22.6","12.6","23.3","28","365","221","5.96","12.97","68.506193","58.934168"
Finland,"84.8","79.3","3.9","6.9","12.4","5.1","10.4","0.33","0.61","43.336","87.746","1.7","2","1.4","2.1","2.5","87","62","7.06","21.88","93.139773","86.62786"
France,"85.9","79.9","5.1","7.2","13.1","7.2","13.4","0.18","0.24","47.023","91.761","3","3.6","2.6","3.8","4.6","2366","1824","8.5","22.02","92.477377","85.570933"
French Polynesia,"85.759","80.855","NA","NA","NA","NA","NA","NA","NA","28.746","49.531","NA","NA","NA","NA","NA","NA","NA","NA","NA","94.861896","90.908439"
Gabon,"69.764","65.149","23.9","17.1","25.7","61.5","97.7","0.56","0.98","173.261","252.323","26","33.2","19","33.7","42","2009","1299","2.52","14.95","72.168727","62.008296"
"Gambia, The","65.927","62.915","29.6","21","25.2","201.3","240.7","0.59","1.27","213.867","259.059","33.5","43","26.2","45.3","55.9","2975","2053","3.07","6.99","66.958847","61.069318"
Georgia,"78.888","69.224","12.4","13.7","32.6","66.3","130.1","1.03","2.05","75.537","221.625","7.3","9.2","5.4","8.6","10.7","439","281","2.05","13.39","87.549722","67.144094"
Germany,"83.7","79","3.8","8.8","14.9","9.6","21.1","0.2","0.46","46.582","83.621","2.9","3.4","2.3","3.4","4","2463","1769","6.66","18.46","92.075883","86.014305"
Ghana,"66.574","62.387","25.7","19.6","26.3","159.9","231.5","0.74","1.05","207.625","272.585","28.6","36.4","23","39.1","48.6","28214","20015","2.25","8.33","67.984748","59.76522"
Gibraltar,"85.79","80.53","NA","NA","NA","NA","NA","NA","NA","36.272","68.513","NA","NA","NA","NA","NA","NA","NA","NA","NA","93.691103","88.630469"
Greece,"84.2","79.2","8.3","7.7","16.5","17.2","29.5","0.2","0.26","37.4","87.118","3.2","3.8","2.5","3.8","4.4","296","207","1.77","8.6","93.564455","85.730063"
Greenland,"74.28","69.72","NA","NA","NA","NA","NA","NA","NA","151.747","218.781","NA","NA","NA","NA","NA","NA","NA","NA","NA","77.497339","68.875514"
Grenada,"78.194","72.101","8","20.8","24.3","41.9","53.1","0.77","2.09","108.553","163.79","15.4","18.1","12.4","17","20","24","18","0.87","1.15","82.659541","73.557705"
Guam,"80.892","72.88","NA","NA","NA","NA","NA","NA","NA","104.467","204.732","NA","NA","NA","NA","NA","NA","NA","NA","NA","83.845836","71.796802"
Guatemala,"74.018","69.28","22.9","15.6","15.4","82.3","101.6","0.54","1.42","131.263","214.338","18","22.5","11.5","21.9","26.9","8156","4551","3.07","8.74","78.985461","69.864064"
Guinea,"60.529","58.159","29.7","24.4","24.7","220.9","263.9","0.69","1.37","247.685","280.567","59.9","74.4","32.2","97.9","113.2","30977","15098","3.58","6.5","59.603533","55.201958"
Guinea-Bissau,"64.305","59.873","32.2","23.8","29.3","195.9","276.9","0.65","1.51","219.225","295.575","42.9","53.7","35.8","72.7","85.2","2994","2242","3.84","11.01","64.465971","55.008221"
Guyana,"72.848","65.525","22.3","24.6","31.2","82.6","109.5","0.074","0.049","155.658","278.567","23.5","30.3","17.8","25.5","32.9","464","315","11.19","44.7","75.298858","59.644029"
Haiti,"67.29","61.483","18.8","34.2","30.9","211.6","199.5","0.54","0.71","178.259","276.405","40.2","49.6","25.2","56.8","67.6","11834","6641","5.73","11.51","70.181115","57.540845"
Honduras,"74.726","69.651","16.1","20.5","20.1","109.2","116.4","0.31","0.77","118.661","183.007","13.3","16.7","10.1","15.8","19.6","3447","2325","1.19","4.88","81.099921","71.215498"
"Hong Kong SAR, China","88.06","82.39","NA","NA","NA","NA","NA","NA","NA","34.5","65.878","NA","NA","NA","NA","NA","NA","NA","NA","NA","94.539866","89.599627"
Hungary,"79.7","73.1","7.7","15.2","29.8","33","55","0.37","0.63","75.172","159.172","3.1","3.8","2.2","3.7","4.5","315","202","8.24","25.81","87.281903","73.976514"
Iceland,"84.7","81.7","2","7.2","9.9","6.5","10","0.21","0.88","46.022","66.799","1.8","2.2","1.4","2.5","2.9","9","6","6.14","17.53","93.100226","89.621997"
India,"72.287","69.312","15.6","20.6","26.7","119.9","159.7","0.09","0.23","134.926","191.12","29.7","29.6","21.4","34.8","33.8","719176","516440","11.32","16.47","76.558342","69.787036"
Indonesia,"72.389","68.325","11.3","21.3","27.2","82.4","111.7","0.063","0.6","146.485","196.698","17.2","21.3","12","21.2","25.9","88698","55453","1.11","2.08","77.107534","68.937631"
"Iran, Islamic Rep.","78.832","74.987","21.5","11.9","17.7","52.3","64.2","0.41","0.95","61.302","115.996","11.5","12.7","8.5","12.8","14.1","16532","11107","2.19","6.27","89.158387","82.2037"
Iraq,"73.01","69.328","27.3","19","26.6","75.2","107.2","0.2","0.21","121.525","171.241","21.3","25.8","14.7","23.3","28.1","26273","16475","1.72","4.77","79.685645","72.041478"
Ireland,"84.7","80.8","3.1","8.1","11.6","10.1","15.7","0.0005","0.46","45.197","79.415","2.8","3.2","2.3","3.2","3.7","181","135","4.07","12.15","93.042661","88.609929"
Isle of Man,"82.778","78.735","NA","NA","NA","NA","NA","NA","NA","51.337","81.249","NA","NA","NA","NA","NA","NA","NA","NA","NA","91.14035","86.586838"
Israel,"84.7","81","3.9","7.1","10.8","11.1","19.9","0.058","0.07","37.275","69.139","2.6","3.1","1.9","3.3","3.9","503","327","2.31","7.78","93.639073","88.689018"
Italy,"85.7","81.4","5.3","6.8","11.1","11.6","19.2","0.2","0.37","35.534","61.477","2.4","2.8","1.8","2.8","3.3","1118","767","3.38","10.34","94.055219","89.951662"
Jamaica,"74.008","69.085","15.1","16.6","22.6","32.4","39.6","0.093","0.1","123.685","199.149","15.6","20","14.1","16.5","21.1","614","485","0.41","2.98","79.896803","69.500174"
Japan,"87.45","81.41","3.6","5.7","10.9","8.4","15.8","0.11","0.27","35.483","64.385","1.7","1.9","0.8","2.3","2.6","1616","736","9.71","23.54","94.508641","89.612182"
Jordan,"79.231","74.806","17","10.9","14.2","34.7","42.5","0.35","0.4","63.064","95.697","12.2","14.9","8.5","13.3","16.2","3225","2027","0.34","1.16","88.895973","82.715346"
Kazakhstan,"77.743","69.198","12.7","16","33.1","65.3","110.4","1.04","2.52","91.488","223.888","7","9.1","4.7","8.9","11.5","3322","1948","6.25","32.21","85.488133","67.750526"
Kenya,"65.1","60.859","28.3","18.6","19.8","114.2","154.9","1.14","2.29","286.994","365.562","33.1","41.1","22.6","38.7","47.6","53717","32722","3.48","9.45","60.064735","50.493848"
Kiribati,"67.498","64.025","1.9","34.1","48.1","191.3","319.4","1.34","2.99","178.688","228.085","38","46.6","23.7","54.5","63.9","145","82","5.84","34.8","70.365331","62.905328"
"Korea, Dem. People's Rep.","75.863","69.945","24.2","19.5","29.8","176.4","270.6","1.03","1.72","100.395","176.274","12.7","15.8","9.5","15.8","19.5","4972","3307","8.53","11.61","83.873888","73.344748"
"Korea, Rep.","86.3","80.3","8.6","4.4","10.1","13.6","25.8","0.11","0.34","21.204","56.098","2.3","2.8","1.4","2.8","3.4","798","429","16.67","40.21","96.123595","89.972288"
Kosovo,"79.363","75.064","NA","NA","NA","NA","NA","NA","NA","53.906","96.512","9.1","11.2","8.3","10","12.2","227","184","NA","NA","89.957983","82.776903"
Kuwait,"83.03","80.96","15.4","6.1","11.9","22.7","59.4","0.18","0.43","28.524","54.397","6.9","8.3","5","8","9.7","414","266","0.55","2.74","94.200936","91.589516"
Kyrgyz Republic,"75.8","67.6","12.7","15.8","29.9","101.9","160.7","0.6","1.28","103.03","233.647","14.1","18","11.5","16.1","20.5","2726","1991","3.84","13.45","82.858831","65.020717"
Lao PDR,"70.156","65.784","17.9","23.3","30.8","169","226.3","0.22","0.49","147.531","211.19","35.6","44.9","22","39.8","50","6731","3690","2.69","6.4","75.04371","65.71816"
Latvia,"80.1","70.9","8.1","13","30.6","29.5","56.5","0.31","1.04","84.503","210.61","3.1","3.6","2.2","3.7","4.3","64","41","6.87","29.17","87.167636","69.723369"
Lebanon,"80.048","76.211","16.4","9.4","14.9","41.5","76.7","0.12","0.19","57.217","81.525","12","13.6","8.8","13.7","15.6","1347","897","0.51","0.89","89.796082","84.986026"
Lesotho,"57.674","52.716","31.9","33.9","41.2","242.2","351.9","3.12","3.96","412.972","511.503","56.8","69.5","31.4","61.8","75.4","3696","1834","16.67","41.54","45.575624","35.013935"
Liberia,"62.437","60.018","38.9","23.1","20.7","157.7","146","0.68","1.32","253.725","293.362","51.8","64.3","31.9","74.8","88.6","9411","5210","3.96","7.8","60.469373","54.951061"
Libya,"76.203","70.075","21.3","19.2","22.7","49.3","59.2","0.64","1.32","109.102","192.716","8.2","10.2","6.2","10.4","12.6","1243","825","3.26","8.53","82.893314","71.463965"
Liechtenstein,"85.8","82.6","NA","NA","NA","NA","NA","NA","NA","30.941","45.942","NA","NA","NA","NA","NA","NA","NA","NA","NA","94.480749","91.548412"
Lithuania,"81.2","71.6","8.1","11.9","29.2","29.4","52.8","0.64","2.84","73.279","200.925","3","3.5","2.2","3.6","4.2","91","60","9.23","45.99","88.670056","70.77585"
Luxembourg,"85.2","80.2","4.1","6.4","10.6","9.6","15.8","0.002","0.001","38.902","66.112","1.9","2.3","1.6","2.2","2.7","13","10","6.96","15.31","91.139356","87.68745"
"Macao SAR, China","86.9","81.1","NA","NA","NA","NA","NA","NA","NA","25.028","57.925","NA","NA","NA","NA","NA","NA","NA","NA","NA","95.786132","90.474292"
Madagascar,"65.142","61.911","29.2","25.8","27.2","193.3","225","1.42","1.7","210.437","258.689","39.8","48.9","24.1","60.6","71.2","41363","22823","3.43","8.47","66.34214","60.114493"
Malawi,"68.428","61.584","33.4","23.5","29.2","112.9","197.9","0.93","1.41","198.436","328.921","29.5","37.4","20.8","40.4","50.2","20746","12992","2.63","12.14","69.241253","53.825997"
Malaysia,"78.604","73.539","22.5","15.7","23.5","63.4","89.5","0.3","0.94","87.84","158.545","6.1","7.4","4.3","7.4","8.9","3245","2037","2.25","8.15","85.829278","76.419014"
Maldives,"81.514","78.392","1.6","9.2","15.3","26.3","37","0.025","0.19","36.491","54.894","5.9","7","5.1","6.8","8","40","31","0.52","3.78","92.900518","89.709442"
Mali,"60.424","58.045","22.7","25.8","22.6","165.9","168.2","0.9","1.57","232.883","282.898","58.3","68.7","34.7","97.8","108","54698","30107","2.69","5.35","60.81096","54.678714"
Malta,"84.4","81","4.1","7.6","12.4","16.6","26","0.14","0.13","43.024","53.77","5","5.7","4.1","5.7","6.5","23","17","1.93","9.76","92.636471","90.40252"
Marshall Islands,"68.448","64.101","NA","NA","NA","NA","NA","NA","NA","207.71","274.227","23.1","29.6","14.8","28.2","35.5","28","15","NA","NA","69.388959","59.399352"
Mauritania,"69.518","65.817","25.6","20.1","16.5","133.1","121.7","0.38","0.69","163.497","209.958","31.1","38.3","23.5","38.7","47.2","5548","3805","1.73","3.82","73.289239","65.654243"
Mauritius,"77.56","71.07","12.2","17.7","27.7","27.1","43.7","0.31","1.32","103.661","193.881","12.4","15.4","9.9","14","17.3","182","128","2.68","16.8","83.894411","70.70991"
Mexico,"77.422","71.587","12.8","13.3","17.6","37.2","53.6","0.28","0.67","98.915","203.802","11","13.4","8.6","12.8","15.5","25891","18330","2.33","10.19","83.960793","71.684605"
"Micronesia, Fed. Sts.","69.548","63.012","0.2","33.8","44.5","208.2","301.6","0.066","1.05","197.706","313.15","20.4","26.6","13.7","22.9","29.5","59","35","9.62","31.53","71.059183","55.663347"
Moldova,"74.622","65.575","7.3","16","33.9","55.4","87.3","2.85","6.76","122.982","293.24","12.1","15.2","11","13.3","16.6","556","433","3.99","22.81","80.172405","58.283538"
Monaco,"88.323","84.209","NA","NA","NA","NA","NA","NA","NA","19.881","32.253","2.3","2.8","1.7","2.8","3.4","1","1","NA","NA","96.412392","94.011674"
Mongolia,"75.96","66.38","21","19","39.2","163.4","283.9","1.63","4.45","115.7","284.507","11.3","14.2","8.4","13.8","17.2","964","636","4.83","29.84","81.845723","60.307874"
Montenegro,"79.5","74","7.6","14.9","27.1","91.5","144.2","0.24","0.57","73.162","143.144","2.5","2.8","1.3","3","3.3","19","10","6.38","22.47","88.705654","77.422659"
Morocco,"76.391","72.253","17","21.7","23.5","60.3","73.5","0.66","0.9","85.895","127.57","16.1","19.8","11.9","17.3","21.2","11906","7867","2.71","3.71","85.188442","77.921902"
Mozambique,"63.736","58.518","30","23.3","37.5","175.2","308.1","1.39","1.93","228.825","346.482","45.6","53.5","26.4","63.7","72.7","57027","30863","6.36","17.18","63.510173","50.242302"
Myanmar,"69.478","63.574","20.4","21.5","30","155.4","224.2","0.76","1.26","159.533","258.485","34.5","42.9","22.6","39.7","48.8","36305","21164","1.11","5.03","73.603067","60.645456"
Namibia,"67.299","59.777","34.8","18.9","27.6","109.3","192.4","1.15","1.44","249.893","393.019","40.2","48.7","27.3","43","52.3","3324","2051","2.66","14.23","64.030135","48.058294"
Nauru,"64.05","59.035","NA","NA","NA","NA","NA","NA","NA","299.046","409.251","10.1","12.3","6.5","10.9","13.3","4","2","NA","NA","59.700332","45.751916"
Nepal,"70.7","67.87","16.3","19","21.9","156","204.3","3.11","3.22","151.986","192.065","25","29.5","19.5","29","33.6","16017","11448","7.6","13.78","75.363307","69.063781"
